Old_CD,New_SD,Old_CD_Republican,Old_CD_Democrat,Old_CD_Other,Old_CD_Total,Voters_To_New_SD,New_SD_Republican,New_SD_Democrat,New_SD_Other,Expected_Republican,Expected_Democrat,Net_Republican_Change,Net_Democrat_Change,Pct_Republican_Change,Pct_Democrat_Change
11,29,51835,7387,33458,467634,48646,4426,867,43353,5392.177236898942,768.4385694795502,-966.1772368989423,98.56143052044979,-17.918128326482712,12.826195148846276
11,31,51835,7387,33458,467634,14267,2538,259,11470,1581.42894870775,225.36926100326323,956.5710512922501,33.63073899673677,60.4877665907092,14.922504891316926
11,32,51835,7387,33458,467634,3803,962,15,2826,421.54442363044603,60.074248236869,540.4555763695539,-45.074248236869,128.20845113191518,-75.03089852933999
11,36,51835,7387,33458,467634,12321,1180,153,10988,1365.7241239944058,194.62919077740284,-185.72412399440577,-41.62919077740284,-13.598948772407166,-21.388975934763092
11,37,51835,7387,33458,467634,2467,766,28,1673,273.455191453145,38.97006847235231,492.544808546855,-10.97006847235231,180.11901910856562,-28.149985110072695
11,38,51835,7387,33458,467634,22825,1674,408,20743,2530.0424584183356,360.55606521339337,-856.0424584183356,47.44393478660663,-33.835102473082344,13.158545747532266
12,2,50588,15640,36045,531935,6051,849,49,5153,575.4612650041828,177.91203812495888,273.5387349958172,-128.91203812495888,47.53382227973745,-72.45829988998035
12,7,50588,15640,36045,531935,12906,2302,137,10467,1227.3844135091692,379.46335548516265,1074.6155864908308,-242.46335548516265,87.55330234465315,-63.896382082839395
12,8,50588,15640,36045,531935,7453,1204,107,6142,708.7940519048379,219.1337663436322,495.20594809516206,-112.1337663436322,69.86598529775021,-51.17137728915354
12,9,50588,15640,36045,531935,2584,523,24,2037,245.74316786825457,75.97499694511546,277.25683213174545,-51.974996945115464,112.82382112058784,-68.41066013159873
12,12,50588,15640,36045,531935,340161,28218,9623,302320,32349.938748155317,10001.443860622068,-4131.938748155317,-378.4438606220683,-12.772632369793687,-3.783892264916737
12,18,50588,15640,36045,531935,23919,3448,244,20227,2274.7410341489094,703.268557248536,1173.2589658510906,-459.268557248536,51.5776938226317,-65.30486149492816
12,24,50588,15640,36045,531935,24075,2212,694,21169,2289.5769219923486,707.8552830703,-77.57692199234862,-13.855283070299947,-3.3882644975667633,-1.9573609750008638
12,25,50588,15640,36045,531935,69753,4005,4182,61566,6633.6390047656205,2050.883886189102,-2628.6390047656205,2131.116113810898,-39.62589768417004,103.91208045282762
12,29,50588,15640,36045,531935,8440,1407,99,6934,802.659573068138,248.15362779286943,604.340426931862,-149.15362779286943,75.29224682660819,-60.10535857141126
12,36,50588,15640,36045,531935,4857,778,85,3994,461.9096618947804,142.80594433530413,316.0903381052196,-57.80594433530413,68.43120293448692,-40.478668170547216
12,38,50588,15640,36045,531935,31736,5642,396,25698,3018.1521576884397,933.1046838429507,2623.8478423115603,-537.1046838429507,86.93557200645338,-57.56103180523204
13,1,57291,7519,40973,490256,8310,934,32,7344,971.1012409843021,127.44951617114324,-37.10124098430208,-95.44951617114324,-3.820532753793672,-74.89201923918692
13,4,57291,7519,40973,490256,1822,177,5,1640,212.91774501484937,27.943804869292777,-35.91774501484937,-22.943804869292777,-16.86930556790576,-82.10694633967167
13,13,57291,7519,40973,490256,364437,37885,6736,319816,42587.872799109035,5589.328438611664,-4702.8727991090345,1146.6715613883362,-11.042751116715605,20.515372713956285
13,14,57291,7519,40973,490256,21273,3924,199,17150,2485.949061306746,326.2615592669952,1438.050938693254,-127.26155926699522,57.84716030896219,-39.00599247821626
13,15,57291,7519,40973,490256,2054,403,5,1646,240.02911540093336,31.501962240135764,162.97088459906664,-26.501962240135764,67.89629846647884,-84.12797284853055
13,17,57291,7519,40973,490256,20765,3020,176,17569,2426.5845089096306,318.4704215756666,593.4154910903694,-142.4704215756666,24.454763018206883,-44.735841046329796
13,19,57291,7519,40973,490256,7968,1081,15,6872,931.1353415358507,122.20430142619367,149.86465846414933,-107.20430142619367,16.094830877856786,-87.72547297849465
13,23,57291,7519,40973,490256,8691,1234,37,7420,1015.6246552821384,133.2928694396397,218.3753447178616,-96.2928694396397,21.501579700937583,-72.24157589558452
13,25,57291,7519,40973,490256,1438,332,14,1092,168.04375265167587,22.054440945138868,163.95624734832413,-8.054440945138868,97.56759460625449,-36.52072145095198
13,26,57291,7519,40973,490256,1509,118,5,1386,176.34076686465846,23.143359795698572,-58.34076686465846,-18.143359795698572,-33.08410635949826,-78.39553096811251
13,27,57291,7519,40973,490256,808,305,6,497,94.42235893084428,12.392203257073854,210.57764106915573,-6.392203257073854,223.01671283534077,-51.582459748834296
13,28,57291,7519,40973,490256,14746,1927,61,12758,1723.2080504879084,226.15770944159786,203.7919495120916,-165.15770944159786,11.826311364689252,-73.02767164090312
13,31,57291,7519,40973,490256,9419,1645,35,7739,1100.698265803988,144.45812187918148,544.3017341960119,-109.45812187918148,49.45058524267185,-75.77152496190385
13,34,57291,7519,40973,490256,15681,2469,94,13118,1832.4715475180315,240.4976971215039,636.5284524819685,-146.4976971215039,34.736061978375965,-60.91438665522462
13,36,57291,7519,40973,490256,11302,1828,99,9375,1320.7444314806958,173.33747674684247,507.25556851930423,-74.33747674684247,38.40679214150587,-42.88598065576526
14,14,63406,17586,28459,497988,337264,37089,12394,287781,42941.92065672265,11910.175956047133,-5852.92065672265,483.8240439528672,-13.629852990300199,4.062274526743797
14,22,63406,17586,28459,497988,79269,13334,1668,64267,10092.874153594063,2799.31370635437,3241.1258464059374,-1131.31370635437,32.113011587009396,-40.41396660139651
14,27,63406,17586,28459,497988,56344,10800,863,44681,7173.963356546744,1989.7378732017637,3626.036643453256,-1126.7378732017637,50.54439872688008,-56.627452710074145
14,36,63406,17586,28459,497988,25083,2177,2661,20245,3193.676751247018,885.7836694860117,-1016.6767512470178,1775.2163305139884,-31.834053050298266,200.4119506452498
15,2,26079,35935,23112,432672,10964,538,1088,9338,660.8473763035279,910.6005010724059,-122.84737630352788,177.3994989275941,-18.58937187443776,19.481594696979887
15,7,26079,35935,23112,432672,48616,2007,3702,42907,2930.2951519857997,4037.737500924488,-923.2951519857997,-335.7375009244879,-31.508605928658824,-8.314990780049888
15,8,26079,35935,23112,432672,6625,511,395,5719,399.31720795429334,550.2306019340285,111.68279204570666,-155.23060193402853,27.96843958161956,-28.211917219507963
15,9,26079,35935,23112,432672,93930,4289,9104,80537,5661.564580097626,7801.231764477479,-1372.5645800976263,1302.7682355225206,-24.243556011401328,16.699519702191274
15,10,26079,35935,23112,432672,8467,1513,117,6837,510.3424603394719,703.2154726906293,1002.6575396605281,-586.2154726906293,196.46759138825638,-83.36214083112579
15,14,26079,35935,23112,432672,5686,252,852,4582,342.71964444197914,472.24320039198284,-90.71964444197914,379.75679960801716,-26.47051195144945,80.4155145680874
15,15,26079,35935,23112,432672,4951,91,1123,3737,298.4180372198802,411.19874870571704,-207.4180372198802,711.801251294283,-69.50586470986354,173.1039439041918
15,18,26079,35935,23112,432672,85549,3499,7467,74583,5156.405709174617,7105.158907902522,-1657.4057091746172,361.8410920974784,-32.14265522640415,5.0926530537554955
