COUNTY,2026_HD,Democrat,Republican,Swing,Unknown,All
MILAM,128.0,14,159,17,2276,2466
MILAM,131.0,26,219,14,2481,2740
MILAM,134.0,12,149,5,1951,2117
MILAM,140.0,20,294,16,3214,3544
MILAM,141.0,16,376,13,2204,2609
MILAM,144.0,19,149,6,1859,2033
MILAM,145.0,9,75,1,1024,1109
MILAM,147.0,6,67,2,531,606
MILLS,18.0,10,634,11,2982,3637
MITCHELL,31.0,5,315,5,4213,4538
MONTAGUE,21.0,29,1096,29,14527,15681
MONTGOMERY,35.0,391,3131,111,72823,76456
MONTGOMERY,36.0,431,3386,137,88557,92511
MONTGOMERY,39.0,486,4454,156,99824,104920
MONTGOMERY,40.0,452,3619,155,78862,83088
MONTGOMERY,41.0,500,4804,168,93105,98577
MOORE,85.0,5,681,4,9458,10148
MORRIS,13.0,69,352,25,8555,9001
MOTLEY,9.0,1,116,0,736,853
NACOGDOCHES,32.0,95,740,63,10517,11415
NACOGDOCHES,34.0,238,1840,110,26468,28656
NAVARRO,8.0,160,1828,68,30910,32966
NEWTON,21.0,29,601,55,8819,9504
NOLAN,7.0,21,436,14,8024,8495
NUECES,126.0,128,128,12,5827,6095
NUECES,127.0,32,2,0,1611,1645
NUECES,128.0,162,194,27,10304,10687
NUECES,129.0,135,165,16,8436,8752
NUECES,130.0,127,229,20,12790,13166
NUECES,132.0,78,121,12,4324,4535
NUECES,133.0,49,48,3,4163,4263
NUECES,134.0,210,399,32,20378,21019
NUECES,137.0,28,34,4,2360,2426
NUECES,138.0,129,101,11,8982,9223
NUECES,139.0,67,134,13,6563,6777
NUECES,140.0,88,179,15,6438,6720
NUECES,141.0,159,119,22,7465,7765
NUECES,142.0,149,125,13,8445,8732
NUECES,143.0,293,516,78,19704,20591
NUECES,144.0,112,84,10,6963,7169
NUECES,145.0,703,782,95,38452,40032
NUECES,146.0,53,55,7,5606,5721
NUECES,147.0,306,388,53,22637,23384
NUECES,148.0,49,91,14,4226,4380
NUECES,150.0,55,117,6,5966,6144
OCHILTREE,12.0,4,463,6,4744,5217
OLDHAM,73.0,1,146,1,1196,1344
ORANGE,5.0,101,976,43,15049,16169
ORANGE,6.0,149,2141,76,37809,40175
PALO PINTO,60.0,77,1363,65,18891,20396
PANOLA,4.0,90,1411,40,16366,17907
PARKER,126.0,12,189,3,3649,3853
PARKER,127.0,3,62,2,1082,1149
PARKER,128.0,17,357,6,3748,4128
PARKER,129.0,15,156,9,1973,2153
PARKER,130.0,33,288,15,5254,5590
PARKER,133.0,59,864,24,13552,14499
PARKER,134.0,49,755,21,11209,12034
PARKER,135.0,8,200,2,3571,3781
PARKER,137.0,29,628,25,10768,11450
PARKER,138.0,50,929,37,11957,12973
PARKER,139.0,12,266,14,2569,2861
PARKER,140.0,20,278,12,5269,5579
PARKER,141.0,39,417,16,6585,7057
PARKER,142.0,34,207,17,8350,8608
PARKER,143.0,23,288,8,5520,5839
PARKER,145.0,7,176,5,2118,2306
PARKER,146.0,23,534,17,8044,8618
PARKER,147.0,17,345,5,6754,7121
PARKER,148.0,3,72,2,2302,2379
PARKER,149.0,30,241,7,3394,3672
PARKER,150.0,4,74,2,2118,2198
PARMER,131.0,0,7,0,539,546
PARMER,133.0,0,4,0,62,66
PARMER,141.0,1,72,0,1522,1595
PARMER,142.0,0,39,0,1093,1132
PARMER,144.0,2,74,1,1154,1231
PECOS,7.0,127,311,115,7793,8346
POLK,4.0,135,2268,64,42066,44533
POTTER,87.0,323,2625,129,56754,59831
PRESIDIO,31.0,519,10,54,3861,4444
RAINS,62.0,42,611,17,8749,9419
RANDALL,126.0,14,102,4,3912,4032
RANDALL,128.0,24,286,8,4301,4619
RANDALL,129.0,18,417,9,8045,8489
RANDALL,130.0,17,166,12,4994,5189
RANDALL,131.0,57,715,37,11989,12798
RANDALL,133.0,0,184,4,4006,4194
RANDALL,134.0,42,1130,41,11659,12872
RANDALL,135.0,24,140,5,2915,3084
RANDALL,137.0,7,257,13,4426,4703
RANDALL,139.0,28,404,12,4521,4965
RANDALL,141.0,34,400,17,4492,4943
RANDALL,142.0,10,151,3,3473,3637
RANDALL,143.0,2,83,1,1607,1693
RANDALL,144.0,14,326,10,4384,4734
RANDALL,145.0,3,128,6,3017,3154
RANDALL,146.0,3,43,3,285,334
RANDALL,147.0,26,662,15,8970,9673
RANDALL,150.0,24,289,10,6925,7248
REAGAN,53.0,1,151,3,1654,1809
REAL,13.0,15,321,12,2356,2704
RED RIVER,1.0,63,468,24,8218,8773
RED RIVER,9.0,0,0,0,1,1
REEVES,18.0,565,20,47,7225,7857
REFUGIO,43.0,50,246,38,4619,4953
ROBERTS,88.0,0,126,0,597,723
ROBERTSON,30.0,101,1066,78,11371,12616
ROCKWALL,33.0,713,4107,251,83177,88248
RUNNELS,5.0,5,284,3,2449,2741
RUNNELS,6.0,7,268,6,3806,4087
RUSK,11.0,203,2009,73,32112,34397
SABINE,12.0,24,534,16,5577,6151
SABINE,14.0,12,154,7,2155,2328
SAN AUGUSTINE,32.0,15,124,1,1940,2080
SAN AUGUSTINE,34.0,34,234,11,3705,3984
SAN JACINTO,37.0,45,765,6,9040,9856
SAN JACINTO,38.0,57,838,22,9753,10670
SAN PATRICIO,74.0,76,393,30,9819,10318
SAN PATRICIO,79.0,365,913,82,33693,35053
SAN SABA,33.0,6,492,5,3300,3803
SCHLEICHER,83.0,23,169,12,1532,1736
SCURRY,3.0,11,366,5,4666,5048
SCURRY,16.0,9,353,8,3982,4352
SHACKELFORD,62.0,3,231,4,2204,2442
SHELBY,11.0,41,1089,36,15224,16390
SHERMAN,54.0,0,71,0,533,604
SHERMAN,55.0,1,78,1,768,848
SMITH,35.0,324,1713,50,30796,32883
SMITH,36.0,345,865,22,21769,23001
SMITH,39.0,385,3114,117,43665,47281
SMITH,40.0,278,1855,71,27715,29919
SMITH,41.0,324,1421,40,27328,29113
SOMERVELL,12.0,28,757,27,6623,7435
STARR,7.0,1032,28,264,35077,36401
STEPHENS,9.0,5,580,5,5317,5907
STERLING,43.0,2,132,1,739,874
STONEWALL,88.0,5,59,21,872,957
SUTTON,83.0,11,344,11,1988,2354
SWISHER,60.0,11,290,14,3594,3909
TARRANT,90.0,1697,928,147,91907,94679
TARRANT,91.0,1069,3840,238,111727,116874
TARRANT,92.0,1300,1758,214,90410,93682
TARRANT,93.0,984,2468,202,135009,138663
